preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
230.620,8.750,13.631,11.249,140.144,60.206,370.764
230.625,8.752,13.792,11.157,140.044,60.932,370.669
230.246,8.560,13.524,11.175,139.971,60.557,370.216
230.328,8.630,13.699,11.156,140.036,60.357,370.363
230.586,8.674,13.758,11.196,140.114,60.269,370.700
230.316,8.824,13.535,11.243,140.027,60.852,370.343
230.574,8.932,13.695,11.316,140.286,60.481,370.860
230.392,8.722,13.570,11.072,139.991,60.704,370.383
230.560,8.625,13.570,11.317,140.061,60.852,370.620
230.580,8.637,13.624,11.159,140.053,60.412,370.633
230.377,8.712,13.635,11.153,139.966,60.608,370.343
230.544,8.588,13.691,11.231,140.160,60.984,370.704
230.068,8.621,13.595,11.118,139.854,60.622,369.922
230.555,8.601,13.530,11.154,140.164,60.646,370.719
230.555,8.537,13.536,11.292,140.087,60.764,370.643
230.353,8.685,13.658,11.195,140.028,60.637,370.381
230.480,8.829,13.722,11.163,139.991,60.652,370.471
230.539,8.712,13.754,11.170,140.104,60.211,370.643
230.400,8.808,13.660,11.166,140.002,60.327,370.402
230.571,8.696,13.609,11.241,140.030,60.851,370.601
230.385,8.694,13.612,11.277,139.968,60.576,370.353
230.484,8.764,13.689,11.145,140.153,60.431,370.637
230.343,8.664,13.727,11.290,140.022,60.890,370.365
230.466,8.624,13.680,11.173,139.935,60.393,370.401
230.313,8.707,13.711,11.223,139.862,60.201,370.175
230.877,8.607,13.582,11.179,140.162,60.306,371.039
230.533,8.716,13.561,11.232,140.038,60.333,370.571
230.429,8.665,13.653,11.165,139.948,60.365,370.378
230.629,8.601,13.649,11.230,140.069,60.266,370.697
230.474,8.801,13.516,11.224,140.096,60.423,370.504
230.814,8.792,13.705,11.105,140.171,60.009,370.985
