preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
215.389,9.995,11.895,11.730,139.033,68.891,354.422
215.447,9.993,11.755,11.813,138.888,70.497,354.335
215.197,10.129,11.897,12.039,139.759,69.937,354.956
215.202,9.781,11.655,11.801,138.905,69.542,354.108
214.920,10.052,11.896,11.932,138.936,69.466,353.856
215.006,10.072,11.848,11.939,138.876,70.016,353.882
215.204,9.805,11.774,11.883,138.937,69.810,354.140
215.244,9.957,11.743,12.003,138.953,71.359,354.197
215.193,10.020,11.808,11.858,138.886,70.298,354.079
215.277,9.958,11.868,11.897,138.872,69.916,354.149
215.251,9.699,11.693,11.981,138.885,70.478,354.136
215.273,9.686,11.635,12.093,138.885,69.139,354.158
215.149,10.105,11.887,12.180,138.907,70.053,354.056
215.249,9.949,11.830,12.125,138.924,69.984,354.174
215.312,9.610,11.602,12.062,138.930,69.547,354.242
215.324,9.768,11.625,12.128,138.893,70.830,354.217
215.218,10.099,11.793,12.073,138.920,70.033,354.138
215.248,9.947,11.779,11.998,138.821,69.206,354.069
215.192,9.878,11.829,12.197,138.818,70.348,354.010
215.325,9.861,11.625,11.892,138.806,70.119,354.131
216.469,9.963,11.822,12.084,138.849,69.127,355.318
215.303,10.043,12.022,11.975,138.783,69.896,354.086
215.370,9.714,11.596,12.206,138.990,70.755,354.360
215.236,9.668,11.719,11.959,138.891,70.300,354.127
215.291,9.856,11.773,12.015,138.950,69.211,354.241
215.508,9.976,11.846,12.091,138.882,70.141,354.390
215.238,9.715,11.618,12.132,138.749,71.356,353.986
215.210,9.741,11.735,11.999,138.916,70.196,354.125
215.273,10.004,11.774,12.206,138.842,69.779,354.114
215.199,9.966,11.762,12.022,138.884,68.565,354.083
215.182,9.681,11.594,11.966,138.913,68.919,354.046
215.228,9.835,11.676,11.945,138.859,71.557,354.087
215.244,9.860,11.662,11.850,138.866,70.728,354.111
215.405,9.837,11.641,11.669,138.902,69.436,354.306
215.299,10.008,11.903,11.909,138.891,68.813,354.111
215.232,9.840,11.620,11.790,138.875,69.340,354.108
215.236,10.062,11.769,11.946,138.885,68.611,354.121
215.281,10.224,12.017,11.833,138.877,70.072,354.079
215.191,9.900,11.702,11.710,138.876,69.868,354.067
215.120,10.013,11.668,11.572,138.923,70.032,354.043
215.177,10.129,11.803,11.821,138.882,69.097,354.059
215.228,9.973,11.819,11.705,138.867,68.516,354.094
215.205,9.926,11.684,11.737,138.881,69.844,354.086
215.405,9.809,11.624,11.735,138.956,69.222,354.362
215.189,10.341,11.860,11.785,138.939,70.349,354.128
215.068,9.998,11.776,11.822,138.953,69.412,354.021
215.096,9.928,11.805,11.665,138.900,69.988,353.996
215.183,9.928,11.685,11.655,138.946,70.028,354.129
215.296,9.947,11.846,11.600,138.928,69.116,354.224
215.120,10.101,11.889,11.733,138.958,70.168,354.078
215.100,10.235,11.898,11.714,138.842,70.076,353.943
215.221,9.891,11.745,11.741,138.999,69.645,354.220
215.201,10.330,11.964,11.778,138.913,69.929,354.114
215.046,10.078,11.935,11.552,138.933,69.802,353.979
214.984,9.795,11.680,11.818,138.852,69.567,353.836
215.229,9.971,11.717,11.676,138.875,69.463,354.027
215.517,10.214,11.835,11.687,138.901,69.847,354.418
216.458,10.039,11.822,11.629,138.840,68.855,355.298
215.387,9.806,11.619,11.829,138.923,70.033,354.310
215.555,9.930,11.669,11.880,138.868,70.745,354.422
215.490,10.034,11.805,11.782,138.926,69.185,354.416
216.052,9.971,11.876,11.807,138.900,68.429,354.952
215.255,9.866,11.661,11.976,138.796,70.488,354.051
216.326,9.818,11.606,11.685,138.941,69.337,355.267
215.779,9.817,11.879,11.927,138.897,68.359,354.676
216.632,9.836,11.750,11.808,138.871,69.003,355.503
215.529,10.049,11.845,11.878,138.915,70.528,354.394
215.268,9.786,11.599,12.043,138.808,71.310,354.077
215.172,9.919,11.790,11.893,138.876,69.503,354.048
215.316,9.980,11.787,11.975,138.835,70.360,354.151
215.073,9.906,11.710,11.911,138.822,70.148,353.895
216.874,9.770,11.637,11.807,139.064,71.187,355.937
215.359,9.901,11.819,12.048,138.803,69.947,354.161
215.284,9.829,11.795,11.976,138.799,69.653,354.034
215.156,9.889,11.625,11.960,138.743,70.822,353.899
215.235,9.946,11.627,11.936,138.876,70.076,354.111
215.371,10.103,11.890,11.753,138.856,69.666,354.227
215.173,9.930,11.790,11.974,138.819,69.204,353.992
215.165,9.965,11.888,12.005,138.864,69.635,354.029
215.167,9.975,11.798,11.864,138.889,69.599,354.057
